"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"JP4E";"JP4";"JP2";"JUMPER";"";
"6";"";"R-EU_R0805";"R0805";"R7, R10, R12, R14, R16, R18";"RESISTOR, European symbol";"";
"2";"100nF";"C-EUC0805";"C0805";"C2, C5";"CAPACITOR, European symbol";"";
"2";"100nF";"C-EUC0805K";"C0805K";"C1, C7";"CAPACITOR, European symbol";"";
"10";"10k";"R-EU_R0805";"R0805";"R1, R2, R4, R5, R6, R9, R11, R13, R15, R17";"RESISTOR, European symbol";"";
"2";"10pF";"C-EUC0805K";"C0805K";"C3, C4";"CAPACITOR, European symbol";"";
"1";"1M";"R-EU_R0805";"R0805";"R8";"RESISTOR, European symbol";"";
"7";"1N4148";"DIODE-SOD80C";"SOD80C";"D0, D1, D2, D3, D4, D5, D6";"DIODE";"";
"1";"2k7";"R-EU_R0805";"R0805";"R3";"RESISTOR, European symbol";"";
"1";"4.00000";"CRYTALHC49U-V";"HC49U-V";"Q1";"CRYSTAL";"";
"1";"47µF";"CPOL-EUE2-5";"E2-5";"C6";"POLARIZED CAPACITOR, European symbol";"";
"1";"7805L";"7805L";"TO92";"IC3";"Positive VOLTAGE REGULATOR";"";
"7";"AKL320-02";"AKL320-02";"AKL320-02";"U$2, U$3, U$4, U$5, U$6, U$14, U$15";"";"";
"5";"AST021-04";"AST021-04";"AST021-04";"KL1, KL2, KL3, KL4, KL5";"";"";
"7";"FIN34.51FIN34.51.7";"FIN34.51FIN34.51.7";"FIN34";"REL0, REL1, REL2, REL3, REL4, REL5, REL6";"Finder 34.51.7 Relais";"";
"2";"LTV846DIL";"LTV846DIL";"DIL16";"OK1, OK2";"OPTO COUPLER";"";
"1";"MC9S08DZ16CLC";"MC9S08DZ16CLC";"LQFP32";"U$1";"";"";
"1";"PCA82C250T";"PCA82C250T";"SO8";"IC2";"CAN CONTROLLER INTERFACE";"";
"1";"ULN2003AD";"ULN2003AD";"SO16";"IC1";"DRIVER ARRAY";"";
